"id","amount","timestamp","customer_id","first_name","last_name","email","gender"
"27","91.21","2021-04-24","798","Esra","Avison","eavisonm5@go.com","Polygender"
"52","21.97","2021-04-24","863","Shirl","McKimmey","smckimmeyny@microsoft.com","Genderfluid"
"65","99.22","2021-04-24","753","Clarissa","Ledster","cledsterkw@nbcnews.com","Male"
"66","66.13","2021-04-24","664","Johanna","Coughlin","jcoughlinif@statcounter.com","Agender"
"78","44.5","2021-04-24","833","Armin","Ponton","apontonn4@wsj.com","Genderqueer"
"80","26.84","2021-04-24","770","Bernardina","Samuel","bsamuelld@zdnet.com","Male"
"108","94.16","2021-04-24","869","Joela","Travers","jtraverso4@etsy.com","Agender"
"129","33.98","2021-04-24","429","Elka","Lyte","elytebw@nbcnews.com","Non-binary"
"161","29.79","2021-04-24","388","Marchelle","Sloan","msloanar@over-blog.com","Genderfluid"
"184","91.47","2021-04-24","837","Sybil","Pitcaithley","spitcaithleyn8@tinypic.com","Agender"
"192","84.82","2021-04-24","152","Thekla","Sneller","tsneller47@epa.gov","Female"
"216","18.93","2021-04-24","755","Lou","Phelips","lphelipsky@squidoo.com","Genderfluid"
"270","95.81","2021-04-24","841","Herrick","Beinisch","hbeinischnc@epa.gov","Polygender"
"288","19.8","2021-04-24","83","Marjie","Dainton","mdainton2a@nsw.gov.au","Agender"
"304","40.69","2021-04-24","659","Kameko","Ambrodi","kambrodiia@twitpic.com","Agender"
"313","29.57","2021-04-24","720","Jesus","Alwood","jalwoodjz@blog.com","Agender"
"343","26.62","2021-04-24","376","Neron","Astell","nastellaf@mozilla.com","Genderqueer"
"353","64.68","2021-04-24","848","Thorndike","Axworthy","taxworthynj@microsoft.com","Genderqueer"
"385","39.25","2021-04-24","553","Reinwald","Rodinger","rrodingerfc@phpbb.com","Genderqueer"
"408","72.21","2021-04-24","962","Mala","Morhall","mmorhallqp@amazonaws.com","Bigender"
"427","10.06","2021-04-24","557","Annice","Hyder","ahyderfg@eventbrite.com","Bigender"
"448","46.07","2021-04-24","897","Goober","Glendining","gglendiningow@wordpress.org","Non-binary"
"452","53.81","2021-04-24","354","Kip","Broseke","kbroseke9t@shareasale.com","Non-binary"
"462","95.16","2021-04-24","24","Viviyan","Lock","vlockn@tripadvisor.com","Female"
"480","32.01","2021-04-24","248","Aurea","Bunker","abunker6v@jalbum.net","Female"
"488","29.4","2021-04-24","826","Erena","Crosoer","ecrosoermx@amazon.de","Agender"
"493","19.41","2021-04-24","343","Lilah","Rubega","lrubega9i@bizjournals.com","Bigender"
"513","94.51","2021-04-24","823","Leanna","Dunster","ldunstermu@gizmodo.com","Male"
"519","26.02","2021-04-24","151","Ciro","Forten","cforten46@businesswire.com","Agender"
"532","24.38","2021-04-24","428","Morey","Whiskin","mwhiskinbv@rambler.ru","Non-binary"
"538","26.76","2021-04-24","566","Alisander","Doddemeede","adoddemeedefp@vinaora.com","Polygender"
"583","35.68","2021-04-24","754","Lenora","Fleg","lflegkx@1und1.de","Bigender"
"599","44.96","2021-04-24","878","Juliana","Cassius","jcassiusod@aol.com","Non-binary"
"623","67.23","2021-04-24","902","Aurilia","Meaker","ameakerp1@newyorker.com","Genderqueer"
"626","40.47","2021-04-24","886","Emogene","Elphinstone","eelphinstoneol@webs.com","Genderqueer"
"672","96.53","2021-04-24","43","Perri","Collihole","pcollihole16@vimeo.com","Bigender"
"702","26.01","2021-04-24","269","Corinna","Epsly","cepsly7g@hao123.com","Agender"
"706","23.5","2021-04-24","390","Neron","Beasant","nbeasantat@merriam-webster.com","Genderqueer"
"720","46.15","2021-04-24","723","Minnaminnie","Tonsley","mtonsleyk2@phpbb.com","Non-binary"
"722","11.56","2021-04-24","683","Karna","Bohman","kbohmaniy@salon.com","Non-binary"
"745","82.77","2021-04-24","833","Armin","Ponton","apontonn4@wsj.com","Genderqueer"
"748","66.66","2021-04-24","420","Gertruda","Kennon","gkennonbn@jimdo.com","Male"
"784","32.85","2021-04-24","491","Sean","Honsch","shonschdm@java.com","Female"
"797","85.66","2021-04-24","205","Caralie","McGahy","cmcgahy5o@alibaba.com","Female"
"840","24.97","2021-04-24","737","Oralie","Gregorin","ogregorinkg@netvibes.com","Female"
"844","71.0","2021-04-24","577","Paige","Croser","pcroserg0@state.tx.us","Male"
"862","97.9","2021-04-24","999","Sal","Romushkin","sromushkinrq@list-manage.com","Genderqueer"
"874","40.14","2021-04-24","716","Pepe","Bossom","pbossomjv@tmall.com","Genderfluid"
"945","23.05","2021-04-24","435","Peggi","Matyja","pmatyjac2@merriam-webster.com","Agender"
"961","67.29","2021-04-24","796","Genovera","Gossage","ggossagem3@blogger.com","Genderfluid"
"972","66.57","2021-04-24","310","Cal","Canto","ccanto8l@zdnet.com","Agender"
"987","43.91","2021-04-24","908","Wylma","Le Prevost","wleprevostp7@ftc.gov","Genderqueer"
